GT,NOISE
CroppedImages\Canon5D2_5_160_6400_reciever_4_mean.JPG,CroppedImages\Canon5D2_5_160_6400_reciever_4_real.JPG
CroppedImages\Canon5D2_5_160_6400_reciever_6_mean.JPG,CroppedImages\Canon5D2_5_160_6400_reciever_6_real.JPG
CroppedImages\Canon5D2_5_160_6400_reciever_8_mean.JPG,CroppedImages\Canon5D2_5_160_6400_reciever_8_real.JPG
CroppedImages\Canon5D2_5_200_3200_fruit_11_mean.JPG,CroppedImages\Canon5D2_5_200_3200_fruit_11_real.JPG
CroppedImages\Canon5D2_5_200_3200_fruit_12_mean.JPG,CroppedImages\Canon5D2_5_200_3200_fruit_12_real.JPG
CroppedImages\Canon5D2_5_200_3200_fruit_14_mean.JPG,CroppedImages\Canon5D2_5_200_3200_fruit_14_real.JPG
CroppedImages\Canon5D2_5_200_3200_toy_12_mean.JPG,CroppedImages\Canon5D2_5_200_3200_toy_12_real.JPG
CroppedImages\Canon5D2_5_200_3200_toy_1_mean.JPG,CroppedImages\Canon5D2_5_200_3200_toy_1_real.JPG
CroppedImages\Canon5D2_5_200_3200_toy_2_mean.JPG,CroppedImages\Canon5D2_5_200_3200_toy_2_real.JPG
CroppedImages\Canon5D2_5_200_3200_toy_3_mean.JPG,CroppedImages\Canon5D2_5_200_3200_toy_3_real.JPG
CroppedImages\Canon5D2_5_200_3200_toy_6_mean.JPG,CroppedImages\Canon5D2_5_200_3200_toy_6_real.JPG
CroppedImages\Canon600D_3-5_125_1600_waterhouse_10_mean.JPG,CroppedImages\Canon600D_3-5_125_1600_waterhouse_10_real.JPG
CroppedImages\Canon600D_3-5_125_1600_waterhouse_11_mean.JPG,CroppedImages\Canon600D_3-5_125_1600_waterhouse_11_real.JPG
CroppedImages\Canon600D_3-5_125_1600_waterhouse_12_mean.JPG,CroppedImages\Canon600D_3-5_125_1600_waterhouse_12_real.JPG
CroppedImages\Canon600D_4-5_125_1600_book_11_mean.JPG,CroppedImages\Canon600D_4-5_125_1600_book_11_real.JPG
CroppedImages\Canon600D_4-5_125_1600_book_13_mean.JPG,CroppedImages\Canon600D_4-5_125_1600_book_13_real.JPG
CroppedImages\Canon600D_4-5_125_1600_toy_11_mean.JPG,CroppedImages\Canon600D_4-5_125_1600_toy_11_real.JPG
CroppedImages\Canon600D_4-5_125_1600_toy_13_mean.JPG,CroppedImages\Canon600D_4-5_125_1600_toy_13_real.JPG
CroppedImages\Canon600D_4-5_125_1600_toy_16_mean.JPG,CroppedImages\Canon600D_4-5_125_1600_toy_16_real.JPG
CroppedImages\Canon600D_4-5_125_1600_toy_1_mean.JPG,CroppedImages\Canon600D_4-5_125_1600_toy_1_real.JPG
CroppedImages\Canon600D_4-5_125_1600_toy_2_mean.JPG,CroppedImages\Canon600D_4-5_125_1600_toy_2_real.JPG
CroppedImages\Canon600D_4-5_125_1600_toy_3_mean.JPG,CroppedImages\Canon600D_4-5_125_1600_toy_3_real.JPG
CroppedImages\Canon80D_8_8_12800_printer_11_mean.JPG,CroppedImages\Canon80D_8_8_12800_printer_11_real.JPG
CroppedImages\Canon80D_8_8_12800_printer_14_mean.JPG,CroppedImages\Canon80D_8_8_12800_printer_14_real.JPG
CroppedImages\Canon80D_8_8_12800_printer_15_mean.JPG,CroppedImages\Canon80D_8_8_12800_printer_15_real.JPG
CroppedImages\Canon80D_8_8_12800_printer_16_mean.JPG,CroppedImages\Canon80D_8_8_12800_printer_16_real.JPG
CroppedImages\Canon80D_8_8_3200_ball_16_mean.JPG,CroppedImages\Canon80D_8_8_3200_ball_16_real.JPG
CroppedImages\Canon80D_8_8_3200_ball_1_mean.JPG,CroppedImages\Canon80D_8_8_3200_ball_1_real.JPG
CroppedImages\Canon80D_8_8_3200_ball_2_mean.JPG,CroppedImages\Canon80D_8_8_3200_ball_2_real.JPG
CroppedImages\Canon80D_8_8_3200_ball_6_mean.JPG,CroppedImages\Canon80D_8_8_3200_ball_6_real.JPG
CroppedImages\Canon80D_8_8_3200_ball_7_mean.JPG,CroppedImages\Canon80D_8_8_3200_ball_7_real.JPG
CroppedImages\Canon80D_8_8_6400_comproom_11_mean.JPG,CroppedImages\Canon80D_8_8_6400_comproom_11_real.JPG
CroppedImages\Canon80D_8_8_6400_comproom_12_mean.JPG,CroppedImages\Canon80D_8_8_6400_comproom_12_real.JPG
CroppedImages\Canon80D_8_8_6400_comproom_13_mean.JPG,CroppedImages\Canon80D_8_8_6400_comproom_13_real.JPG
CroppedImages\Canon80D_8_8_6400_comproom_14_mean.JPG,CroppedImages\Canon80D_8_8_6400_comproom_14_real.JPG
CroppedImages\Canon80D_8_8_6400_comproom_16_mean.JPG,CroppedImages\Canon80D_8_8_6400_comproom_16_real.JPG
CroppedImages\Canon80D_8_8_800_GO_11_mean.JPG,CroppedImages\Canon80D_8_8_800_GO_11_real.JPG
CroppedImages\NikonD800_10_100_6400_planandsofa_2_mean.JPG,CroppedImages\NikonD800_10_100_6400_planandsofa_2_real.JPG
CroppedImages\NikonD800_10_100_6400_planandsofa_7_mean.JPG,CroppedImages\NikonD800_10_100_6400_planandsofa_7_real.JPG
CroppedImages\NikonD800_11_160_3200_classroom_15_mean.JPG,CroppedImages\NikonD800_11_160_3200_classroom_15_real.JPG
CroppedImages\NikonD800_11_160_3200_classroom_4_mean.JPG,CroppedImages\NikonD800_11_160_3200_classroom_4_real.JPG
CroppedImages\NikonD800_11_160_3200_classroom_6_mean.JPG,CroppedImages\NikonD800_11_160_3200_classroom_6_real.JPG
CroppedImages\NikonD800_4-5_160_1800_classroom_15_mean.JPG,CroppedImages\NikonD800_4-5_160_1800_classroom_15_real.JPG
CroppedImages\NikonD800_4-5_160_1800_classroom_5_mean.JPG,CroppedImages\NikonD800_4-5_160_1800_classroom_5_real.JPG
CroppedImages\NikonD800_4-5_160_1800_classroom_9_mean.JPG,CroppedImages\NikonD800_4-5_160_1800_classroom_9_real.JPG
CroppedImages\NikonD800_5-6_160_6400_wall_15_mean.JPG,CroppedImages\NikonD800_5-6_160_6400_wall_15_real.JPG
CroppedImages\NikonD800_5-6_160_6400_wall_2_mean.JPG,CroppedImages\NikonD800_5-6_160_6400_wall_2_real.JPG
CroppedImages\NikonD800_5-6_160_6400_wall_6_mean.JPG,CroppedImages\NikonD800_5-6_160_6400_wall_6_real.JPG
CroppedImages\NikonD800_5-6_160_6400_wall_9_mean.JPG,CroppedImages\NikonD800_5-6_160_6400_wall_9_real.JPG
CroppedImages\NikonD800_5_100_4000_flower_12_mean.JPG,CroppedImages\NikonD800_5_100_4000_flower_12_real.JPG
CroppedImages\NikonD800_5_100_4000_flower_13_mean.JPG,CroppedImages\NikonD800_5_100_4000_flower_13_real.JPG
CroppedImages\NikonD800_5_100_4000_flower_14_mean.JPG,CroppedImages\NikonD800_5_100_4000_flower_14_real.JPG
CroppedImages\NikonD800_5_100_4000_flower_15_mean.JPG,CroppedImages\NikonD800_5_100_4000_flower_15_real.JPG
CroppedImages\NikonD800_5_100_4000_flower_1_mean.JPG,CroppedImages\NikonD800_5_100_4000_flower_1_real.JPG
CroppedImages\NikonD800_5_100_4000_flower_2_mean.JPG,CroppedImages\NikonD800_5_100_4000_flower_2_real.JPG
CroppedImages\NikonD800_5_125_6400_stair_10_mean.JPG,CroppedImages\NikonD800_5_125_6400_stair_10_real.JPG
CroppedImages\NikonD800_5_125_6400_stair_1_mean.JPG,CroppedImages\NikonD800_5_125_6400_stair_1_real.JPG
CroppedImages\NikonD800_5_125_6400_stair_3_mean.JPG,CroppedImages\NikonD800_5_125_6400_stair_3_real.JPG
CroppedImages\NikonD800_5_125_6400_stair_6_mean.JPG,CroppedImages\NikonD800_5_125_6400_stair_6_real.JPG
CroppedImages\NikonD800_5_125_6400_stair_7_mean.JPG,CroppedImages\NikonD800_5_125_6400_stair_7_real.JPG
CroppedImages\NikonD800_6-3_125_5000_plant_10_mean.JPG,CroppedImages\NikonD800_6-3_125_5000_plant_10_real.JPG
CroppedImages\NikonD800_6-3_125_5000_plant_1_mean.JPG,CroppedImages\NikonD800_6-3_125_5000_plant_1_real.JPG
CroppedImages\NikonD800_6-3_125_5000_plant_3_mean.JPG,CroppedImages\NikonD800_6-3_125_5000_plant_3_real.JPG
CroppedImages\NikonD800_6-3_125_5000_plant_6_mean.JPG,CroppedImages\NikonD800_6-3_125_5000_plant_6_real.JPG
CroppedImages\NikonD800_6-3_125_5000_plant__4_mean.JPG,CroppedImages\NikonD800_6-3_125_5000_plant__4_real.JPG
CroppedImages\NikonD800_8_100_6400_bulletin_3_mean.JPG,CroppedImages\NikonD800_8_100_6400_bulletin_3_real.JPG
CroppedImages\NikonD800_8_100_6400_bulletin_5_mean.JPG,CroppedImages\NikonD800_8_100_6400_bulletin_5_real.JPG
CroppedImages\NikonD800_8_100_6400_bulletin_7_mean.JPG,CroppedImages\NikonD800_8_100_6400_bulletin_7_real.JPG
CroppedImages\NikonD800_8_100_6400_bulletin_8_mean.JPG,CroppedImages\NikonD800_8_100_6400_bulletin_8_real.JPG
CroppedImages\NikonD800_8_125_6400_photo_19_mean.JPG,CroppedImages\NikonD800_8_125_6400_photo_19_real.JPG
CroppedImages\Sony_3-5_200_1600_classroom_10_mean.JPG,CroppedImages\Sony_3-5_200_1600_classroom_10_real.JPG
CroppedImages\Sony_3-5_200_1600_classroom_13_mean.JPG,CroppedImages\Sony_3-5_200_1600_classroom_13_real.JPG
CroppedImages\Sony_3-5_200_1600_classroom_14_mean.JPG,CroppedImages\Sony_3-5_200_1600_classroom_14_real.JPG
CroppedImages\Sony_4-5_125_1600_toy_10_mean.JPG,CroppedImages\Sony_4-5_125_1600_toy_10_real.JPG
CroppedImages\Sony_4-5_125_1600_toy_11_mean.JPG,CroppedImages\Sony_4-5_125_1600_toy_11_real.JPG
CroppedImages\Sony_4-5_125_3200_plant_10_mean.JPG,CroppedImages\Sony_4-5_125_3200_plant_10_real.JPG
CroppedImages\Sony_4-5_125_3200_plant_11_mean.JPG,CroppedImages\Sony_4-5_125_3200_plant_11_real.JPG
CroppedImages\Sony_4-5_125_3200_plant_13_mean.JPG,CroppedImages\Sony_4-5_125_3200_plant_13_real.JPG
CroppedImages\Sony_4-5_125_3200_plant_14_mean.JPG,CroppedImages\Sony_4-5_125_3200_plant_14_real.JPG
CroppedImages\Sony_4-5_125_6400_waterhouse_10_mean.JPG,CroppedImages\Sony_4-5_125_6400_waterhouse_10_real.JPG
CroppedImages\Sony_4_200_3200_door_10_mean.JPG,CroppedImages\Sony_4_200_3200_door_10_real.JPG
CroppedImages\Sony_4_200_3200_door_11_mean.JPG,CroppedImages\Sony_4_200_3200_door_11_real.JPG
